start_node,end_node,street_name,road_direction,distance_meters,speed_limit_kph,duration_seconds,road_class,road_type,is_blocked,is_dead_end
"(14.153439, 121.248028)","(14.155045, 121.250268)",unnamed road,twoway,300,30,36,tertiary,asphalt,0,0
"(14.153439, 121.248028)","(14.153306, 121.248118)",unnamed road,twoway,18,30,2.16,tertiary,asphalt,0,0
"(14.153306, 121.248118)","(14.153336, 121.249875)",unnamed road,twoway,190,30,22.8,tertiary,asphalt,0,0
"(14.153336, 121.249875)","(14.153071, 121.250281)",unnamed road,twoway,54,30,6.48,tertiary,asphalt,0,0
"(14.153071, 121.250281)","(14.153597, 121.250329)",unnamed road,twoway,59,30,7.08,tertiary,asphalt,0,0
"(14.153597, 121.250329)","(14.153705, 121.250820)",unnamed road,twoway,57,30,6.84,tertiary,asphalt,0,0
"(14.153705, 121.250820)","(14.152434, 121.251267)",San Luis rd,twoway,150,30,18,tertiary,asphalt,0,0
"(14.152434, 121.251267)","(14.151516, 121.252529)",Narra st,twoway,170,30,20.4,tertiary,asphalt,0,0
"(14.151516, 121.252529)","(14.150273, 121.253909)",Narra st,twoway,200,30,24,tertiary,asphalt,0,0
"(14.150273, 121.253909)","(14.149766, 121.253546)",San Luis rd,twoway,71,30,8.52,tertiary,asphalt,0,0
"(14.149766, 121.253546)","(14.149233, 121.253016)",San Luis rd,twoway,81,30,9.72,tertiary,asphalt,0,0
"(14.149233, 121.253016)","(14.148635, 121.252506)",San Luis rd,twoway,88,30,10.56,tertiary,asphalt,0,0
"(14.148635, 121.252506)","(14.148355, 121.253054)",San Luis rd,twoway,67,30,8.04,tertiary,asphalt,0,0
"(14.148355, 121.253054)","(14.147786, 121.253423)",San Luis rd,twoway,77,30,9.24,tertiary,asphalt,0,0
"(14.147786, 121.253423)","(14.147366, 121.253629)",San Luis rd,twoway,52,30,6.24,tertiary,asphalt,0,0
"(14.147366, 121.253629)","(14.145969, 121.253130)",San Luis rd,twoway,170,30,20.4,tertiary,asphalt,0,1
"(14.148635, 121.252506)","(14.149031, 121.251385)",unnamed road,twoway,130,28,16.71428571,tertiary,gravel,0,0
"(14.149031, 121.251385)","(14.148596, 121.251173)",unnamed road,twoway,52,30,6.24,tertiary,uneven,0,0
"(14.148596, 121.251173)","(14.148564, 121.251233)",unnamed road,twoway,6,30,0.72,tertiary,uneven,0,0
"(14.148564, 121.251233)","(14.147970, 121.250959)",unnamed road,twoway,73,30,8.76,tertiary,uneven,0,0
"(14.147970, 121.250959)","(14.148049, 121.250720)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.148049, 121.250720)","(14.148635, 121.251030)",unnamed road,twoway,73,30,8.76,tertiary,uneven,0,0
"(14.148635, 121.251030)","(14.148596, 121.251173)",unnamed road,twoway,17,30,2.04,tertiary,uneven,0,0
"(14.148049, 121.250720)","(14.148150, 121.250446)",unnamed road,twoway,31,30,3.72,tertiary,uneven,0,0
"(14.148150, 121.250446)","(14.147109, 121.249853)",unnamed road,twoway,130,28,16.71428571,tertiary,gravel,0,1
"(14.148150, 121.250446)","(14.148187, 121.250313)",unnamed road,twoway,15,30,1.8,tertiary,uneven,0,0
"(14.148187, 121.250313)","(14.148313, 121.250242)",unnamed road,twoway,16,30,1.92,tertiary,uneven,0,0
"(14.148313, 121.250242)","(14.149017, 121.250603)",unnamed road,twoway,86,30,10.32,tertiary,uneven,0,0
"(14.149017, 121.250603)","(14.148930, 121.250836)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.148150, 121.250446)","(14.148930, 121.250836)",unnamed road,twoway,97,30,11.64,tertiary,uneven,0,0
"(14.148930, 121.250836)","(14.149178, 121.250997)",unnamed road,twoway,32,30,3.84,tertiary,uneven,0,0
"(14.149178, 121.250997)","(14.149031, 121.251385)",unnamed road,twoway,44,28,5.657142857,tertiary,gravel,0,0
"(14.149233, 121.253016)","(14.149439, 121.252781)",unnamed road,twoway,33,30,3.96,tertiary,uneven,0,0
"(14.149439, 121.252781)","(14.149801, 121.253108)",unnamed road,twoway,54,30,6.48,tertiary,uneven,0,0
"(14.149801, 121.253108)","(14.150054, 121.252873)",unnamed road,twoway,37,30,4.44,tertiary,uneven,0,0
"(14.150054, 121.252873)","(14.150207, 121.252699)",unnamed road,twoway,26,30,3.12,tertiary,uneven,0,0
"(14.150207, 121.252699)","(14.150363, 121.252510)",unnamed road,twoway,26,30,3.12,tertiary,uneven,0,0
"(14.150363, 121.252510)","(14.151161, 121.251611)",unnamed road,twoway,130,30,15.6,tertiary,uneven,0,0
"(14.151161, 121.251611)","(14.151304, 121.251444)",unnamed road,twoway,24,30,2.88,tertiary,uneven,0,0
"(14.151304, 121.251444)","(14.149790, 121.249955)",unnamed road,twoway,230,30,27.6,tertiary,uneven,0,0
"(14.149790, 121.249955)","(14.149693, 121.250196)",unnamed road,twoway,27,30,3.24,tertiary,uneven,0,0
"(14.149693, 121.250196)","(14.149181, 121.251427)",unnamed road,twoway,150,30,18,tertiary,uneven,0,0
"(14.149181, 121.251427)","(14.149091, 121.251661)",unnamed road,twoway,27,30,3.24,tertiary,uneven,0,0
"(14.149091, 121.251661)","(14.148997, 121.251868)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.148997, 121.251868)","(14.148867, 121.252212)",unnamed road,twoway,40,30,4.8,tertiary,uneven,0,0
"(14.148867, 121.252212)","(14.149439, 121.252781)",unnamed road,twoway,88,30,10.56,tertiary,uneven,0,0
"(14.149439, 121.252781)","(14.149665, 121.252537)",unnamed road,twoway,37,30,4.44,tertiary,uneven,0,0
"(14.149665, 121.252537)","(14.150054, 121.252873)",unnamed road,twoway,57,30,6.84,tertiary,uneven,0,0
"(14.149665, 121.252537)","(14.149701, 121.252505)",unnamed road,twoway,5,30,0.6,tertiary,uneven,0,0
"(14.149701, 121.252505)","(14.148997, 121.251868)",unnamed road,twoway,100,30,12,tertiary,uneven,0,0
"(14.149701, 121.252505)","(14.149828, 121.252351)",unnamed road,twoway,22,30,2.64,tertiary,uneven,0,0
"(14.149828, 121.252351)","(14.150207, 121.252699)",unnamed road,twoway,56,30,6.72,tertiary,uneven,0,0
"(14.149828, 121.252351)","(14.149091, 121.251661)",unnamed road,twoway,110,30,13.2,tertiary,uneven,0,0
"(14.149828, 121.252351)","(14.149998, 121.252169)",unnamed road,twoway,27,30,3.24,tertiary,uneven,0,0
"(14.149998, 121.252169)","(14.150186, 121.252343)",unnamed road,twoway,29,30,3.48,tertiary,uneven,0,0
"(14.149998, 121.252169)","(14.149709, 121.251903)",unnamed road,twoway,42,30,5.04,tertiary,uneven,0,0
"(14.149998, 121.252169)","(14.150501, 121.251596)",unnamed road,twoway,84,30,10.08,tertiary,uneven,0,0
"(14.150186, 121.252343)","(14.150363, 121.252510)",unnamed road,twoway,27,30,3.24,tertiary,uneven,0,0
"(14.150186, 121.252343)","(14.150981, 121.251443)",unnamed road,twoway,130,30,15.6,tertiary,uneven,0,0
"(14.150981, 121.251443)","(14.151161, 121.251611)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.149709, 121.251903)","(14.150022, 121.251146)",unnamed road,twoway,91,30,10.92,tertiary,uneven,0,0
"(14.150022, 121.251146)","(14.150501, 121.251596)",unnamed road,twoway,73,30,8.76,tertiary,uneven,0,0
"(14.150022, 121.251146)","(14.150111, 121.250916)",unnamed road,twoway,26,30,3.12,tertiary,uneven,0,0
"(14.150111, 121.250916)","(14.150200, 121.250690)",unnamed road,twoway,26,30,3.12,tertiary,uneven,0,0
"(14.150501, 121.251596)","(14.150651, 121.251417)",unnamed road,twoway,26,30,3.12,tertiary,uneven,0,0
"(14.150651, 121.251417)","(14.150111, 121.250916)",unnamed road,twoway,82,30,9.84,tertiary,uneven,0,0
"(14.150651, 121.251417)","(14.150784, 121.251262)",unnamed road,twoway,28,30,3.36,tertiary,uneven,0,0
"(14.150981, 121.251443)","(14.150784, 121.251262)",unnamed road,twoway,30,30,3.6,tertiary,uneven,0,0
"(14.150784, 121.251262)","(14.150200, 121.250690)",unnamed road,twoway,91,30,10.92,tertiary,uneven,0,0
"(14.150200, 121.250690)","(14.149957, 121.250443)",unnamed road,twoway,38,30,4.56,tertiary,uneven,0,0
"(14.149957, 121.250443)","(14.149693, 121.250196)",unnamed road,twoway,39,30,4.68,tertiary,uneven,0,0
"(14.149957, 121.250443)","(14.149449, 121.251649)",unnamed road,twoway,140,30,16.8,tertiary,uneven,0,0
"(14.149709, 121.251903)","(14.149449, 121.251649)",unnamed road,twoway,41,30,4.92,tertiary,uneven,0,0
"(14.149709, 121.251903)","(14.149181, 121.251427)",unnamed road,twoway,38,30,4.56,tertiary,uneven,0,0
"(14.149766, 121.253546)","(14.151786, 121.251276)",unnamed road,twoway,350,30,42,tertiary,asphalt,0,0
"(14.151786, 121.251276)","(14.150330, 121.249836)",unnamed road,twoway,220,30,26.4,tertiary,asphalt,0,1
"(14.151786, 121.251276)","(14.152000, 121.251044)",unnamed road,twoway,34,30,4.08,tertiary,uneven,0,0
"(14.152000, 121.251044)","(14.151249, 121.250168)",unnamed road,twoway,130,30,15.6,tertiary,uneven,0,0
"(14.151249, 121.250168)","(14.151554, 121.249677)",unnamed road,twoway,66,30,7.92,tertiary,uneven,0,0
"(14.151554, 121.249677)","(14.151604, 121.249211)",unnamed road,twoway,50,30,6,tertiary,uneven,0,0
"(14.151604, 121.249211)","(14.151664, 121.248682)",unnamed road,twoway,58,28,7.457142857,tertiary,gravel,0,0
"(14.151664, 121.248682)","(14.151381, 121.248572)",unnamed road,twoway,33,28,4.242857143,tertiary,gravel,0,0
"(14.151381, 121.248572)","(14.151382, 121.248216)",unnamed road,twoway,42,28,5.4,tertiary,gravel,0,0
